e0_domain,scientific_quantity,required_for,minimum_requirement,preferred_requirement,current_source,evidence_class,observed_vs_inferred,measurement_error_status,spatial_resolution,temporal_resolution,coverage,vintage,access_status,blocking_for_M0S,blocking_for_M1L,blocking_for_planning,workaround,workaround_claim_limit,priority,long_lead_time,current_status,confidence,notes
E0.2,screen / perforation interval,vertical identity support,Screen top/bottom or equivalent,Construction log,Not in downloaded CSVs,REPORTED_MEASURED,OBSERVED,UNDOCUMENTED,station,static,none,unknown,ACCESS_REQUIRED,false,true,false,aquifer ID without screens is weaker but usable if aquifer is authoritative,do not infer aquifer from depth,2,true,NOT_OBTAINED,high,Preferred; aquifer ID is the binding minimum
E0.2,monitoring versus pumping flag,exclude production wells as silent piezometers; analogue design,Use/status flag: monitoring vs production vs mixed,Pumping-status at each measurement time,CSV has no pumping-status or use flag,REPORTED_MEASURED,INFERRED,UNDOCUMENTED,station,static plus optional per-visit,none,unknown,ACCESS_REQUIRED,false,true,false,none,cannot treat all named stations as monitoring wells,1,true,NOT_OBTAINED,high,Yearbook distinguishes dug wells and piezometers only in aggregates
E0.2,active dates,panel construction; avoid splicing relocated names,Start/end of station operation,Relocation and ID-change history,Not in CSV; 160 names map to multiple coordinate pairs,REPORTED_MEASURED,INFERRED,UNDOCUMENTED,station,static intervals,none as master; series spans observable but identity unstable,1996-2023 usable observations,ACCESS_REQUIRED,false,true,false,do not concatenate same names across coordinate pairs,name+coord is an upper bound not a well ID,2,true,NOT_OBTAINED,high,
E0.2,vertical datum and reference elevation,convert depth-to-water to comparable head,Measuring-point and/or land-surface elevation with vertical datum,Survey history and MP changes,CSV stores Groundwater Level Quarterly Manual (meter); datum not declared; MP/LS elevations absent,OBSERVED,OBSERVED,UNDOCUMENTED,station,static with possible MP changes,depth values present; heads not datum-harmonized,1996-2023,PUBLIC_DOWNLOADED_INCOMPLETE,false,true,false,analysis in depth-to-water only with explicit MP-invariance assumption,not comparable hydraulic head across wells,1,true,INADEQUATE,high,Preflight preserves depth; no interpolation
E0.2,manual quarterly head / depth series,E0.6 state observations; any response model,Datum-consistent series with identity repaired; quarterly acceptable if cadence matches analogue,QA flags; pumping-status per visit; post-2023 updates,NWDP CGWB AP CSVs downloaded and hashed; 71384 spatial-QA-usable OBSERVED rows,OBSERVED,OBSERVED,UNDOCUMENTED,station,nominal quarterly; median interval 92 days,28 years; 1011 series >=24 times; 384 >=60; 701 span >=10 years; median series 17 obs / 4 years,usable 1996-01-05 to 2023-08-20; advertised 2021-2025 file ends 2023-08-20,PUBLIC_DOWNLOADED,false,false,false,usable only after E0.2 identity repair,observations exist; panel identity does not,1,false,PARTIAL,high,Not blocking by itself; identity fields are the M1L blockers. QA flags absent.
E0.2,head QA / method flags,eligibility of observations,QA code and measurement method,Revision reason and duplicates policy,raw_qa_flags_present=false,OBSERVED,OBSERVED,UNDOCUMENTED,station-time,per observation,none,n/a,ACCESS_REQUIRED,false,true,false,conservative spatial envelope screen only,screen is not source QA,2,false,NOT_OBTAINED,high,3 series-date groups have conflicting values
E0.2,telemetry / weekly heads,higher-cadence state; not a V3 k-spec,Machine-readable subset with station IDs,DWLR/AWLR hourly/six-hourly plus 105 weekly participatory wells,NWDP telemetry: no AP resource listed; AP_GW_WATER_AUDIT_TELEMETRY: dashboard access required; yearbook: 105 weekly wells described,OBSERVED,OBSERVED,UNDOCUMENTED,telemetry station,hourly/six-hourly or weekly as documented,public_high_frequency_ap_machine_readable_status=NOT_LOCATED,unknown,NOT_LOCATED,false,false,false,quarterly heads may meet scientific minimum if analogue and aquifer timescale allow,do not infer AP telemetry from other-state NWDP resources,3,true,NOT_OBTAINED,medium,Not a universal M1L blocker; target not threshold
E0.3,subannual well or node pumping,M1L amplitude identification; E0.3,"Subannual withdrawal whose cadence is adequate vs aquifer timescale, head cadence, and analogue; target monthly or finer",Metered well-level monthly or finer with coverage fraction,"CGWB_AP_GWRA_2024 statewide annual ESTIMATED extraction 7.88 bcm/y (irrigation 6.75, domestic 1.01, industrial 0.13); not geocoded monthly well pumping",ESTIMATED,INFERRED,UNKNOWN_NOT_SYNTHETIC,state aggregate in-hand; unit/well not in-hand,annual assessment,statewide total only,GWRA 2024 / 2023-24,ACCESS_REQUIRED,false,true,false,none for dynamics; annual unit totals if obtained may support M0S,annual totals inadequate for dynamic identification; do not transfer V3 sigma,1,true,INADEQUATE,high,Monthly is target not universal hard gate; scientific minimum is subannual adequacy
E0.3,meter vs estimate vs proxy class,pumping audit protocol; residualized reliability on AP data,Class flag per series: OBSERVED_METERED / OBSERVED_REPORTED / ESTIMATED / PROXY,"Method description, coverage fraction, QA",GWRA method GEC-2015/INGRES (ESTIMATED); no well-level class table,ESTIMATED,INFERRED,UNKNOWN_NOT_SYNTHETIC,assessment / well,as supplied,none at well,GEC-2015,ACCESS_REQUIRED,false,true,false,treat all current GWRA extraction as ESTIMATED,cannot claim metered AP pumping,1,true,INADEQUATE,high,AP_PUMPING_MEASUREMENT_AUDIT_PROTOCOL.md; no synthetic sigma
E0.3,pumping revisions,measurement-error audit; vintage control,Revision flag and superseded values retained,Reason codes and publication dates,Not obtained,ESTIMATED,INFERRED,UNDOCUMENTED,well/node,as supplied,none,unknown,ACCESS_REQUIRED,false,true,false,none,cannot estimate AP reliability from revisions,2,true,NOT_OBTAINED,high,
E0.3,missingness convention (missing vs zero),contract guard; UNUSABLE classification,"Written rule that missing extraction is unknown, never zero",Coverage fraction per well-period,Contract forbids treating missing as zero; no agency pumping file to audit,ESTIMATED,INFERRED,UNDOCUMENTED,well/node,as supplied,n/a,n/a,ACCESS_REQUIRED,false,true,false,refuse any file that codes missing as 0 without documentation,UNUSABLE if missing=0 undocumented,1,false,NOT_OBTAINED,high,AP_PLANNING_DATA_CONTRACT.yaml
E0.3,monthly or subannual vs annual reconciliation,scale consistency; detect spreading of annual totals,Reconciliation table or residual for units with both resolutions,Well-to-unit rollup plus assessment totals,Annual statewide totals only; nothing to reconcile,ESTIMATED,INFERRED,UNKNOWN_NOT_SYNTHETIC,unit/state,annual vs subannual,none,GWRA 2024,ACCESS_REQUIRED,false,true,false,reject monthly files that are uniform spreads of annual totals without method,spread annual is not subannual observation,2,true,NOT_OBTAINED,high,
E0.3,unit-level annual extraction (GWRA),M0S static stress; not M1L,Annual irrigation/domestic/industrial extraction by 679 unit with stage/category,Machine-readable GWRA tables plus method keys,Statewide and category counts extracted from PDF; unit-level tables not exported,ESTIMATED,INFERRED,UNKNOWN_NOT_SYNTHETIC,679 units in PDF; state aggregate in CSV baseline,annual,state totals and 591/38/2/9/39 category counts; per-unit values not in AP_GWRA_2024_STATIC_BASELINE.csv,GWRA 2024,PUBLIC_PDF_PARTIAL,true,false,true,statewide stage 29.83% is not a unit stress map,M0S needs unit-level values plus polygons,2,false,PARTIAL,high,GEC-2015/INGRES; not dynamic forcing
E0.4,rainfall,independent recharge/climate channel; placebo control,Subannual rainfall at station or unit overlapping heads/pumping,"IMD gridded product with version, CRS, and quality flags",Identified as needed; IMD not in source registry as a downloaded product; not downloaded,OBSERVED,OBSERVED,UNDOCUMENTED,station or grid (product-dependent),daily to monthly (product-dependent),none in-hand,not obtained,NOT_OBTAINED,false,true,false,do not use pumping or irrigated area as rainfall,no independent climate control,1,false,NOT_OBTAINED,high,Public source likely exists; not downloaded in preflight. Do not exploratory-scrape.
E0.4,recharge components independent of pumping,V3 Block D placebo channel; M1L attribution,At least one recharge series not a transform of pumping (rainfall recharge and/or return-flow split),Rainfall vs canal/tank/irrigation return vs managed vs injection with method and evidence class,GWRA statewide annual ESTIMATED recharge 27.80 bcm/y; components not obtained as a panel,ESTIMATED,INFERRED,UNKNOWN_NOT_SYNTHETIC,state aggregate in-hand,annual,statewide total only,GWRA 2024,ACCESS_REQUIRED,false,true,false,annual recharge may support M0S resource context,annual ESTIMATED recharge is not monthly forcing and is not a placebo control,1,true,INADEQUATE,high,Evidence-class guard: assessment recharge is not monthly metered forcing
E0.4,managed recharge,separate managed vs natural forcing; OCWD method analogy only,Facility-level volumes with dates if programs exist in the study units,Inflow/outflow/storage and evidence class,Not obtained; OCWD WRMS waiting (TRACK_A WAITING_FOR_WRMS) is California and does not substitute,REPORTED_MEASURED,OBSERVED,UNDOCUMENTED,facility/unit,subannual preferred,none,unknown,ACCESS_REQUIRED,false,false,false,"if none exists in unit, document absence",absence must be documented not assumed zero,3,true,NOT_OBTAINED,medium,Not universally fatal if documented as none; OCWD coefficients forbidden
E0.4,canal / tank information,surface-water interaction and return-flow identification,Presence/operating status overlapping the analogue window for study units,Releases/levels with dates,Not obtained,REPORTED_MEASURED,OBSERVED,UNDOCUMENTED,facility/command,subannual preferred,none,unknown,ACCESS_REQUIRED,false,false,false,needed if canal shutdown is a Level A analogue,cannot use canal events as analogues without dates/volumes,3,true,NOT_OBTAINED,medium,
E0.4,GRACE terrestrial water storage,not required for E0; complementary coarse storage only,Do not use as well-level head,If used later: mascon product with acknowledgment; never as ground truth,NASA_GRACE_JPL registered; not downloaded,DERIVED_FROM_MEASUREMENTS,INFERRED,NOT_APPLICABLE,~3 deg mascons / ~55 km grid,monthly,not in-hand,2002-present product family,PUBLIC_IDENTIFIED_NOT_DOWNLOADED,false,false,false,do not download as an E0 substitute for well pumping or heads,never well-level ground truth,9,false,NOT_OBTAINED,high,EVIDENCE_CLASSES.yaml guard
E0.5,NAQUIM machine-readable GIS,aquifer boundaries; coupling strong evidence support,Aquifer/layer polygons with attributes for the study region,Statewide AP GIS with 1:50k (or better) attributes,CGWB_NAQUIM_AP: PDF reports; GIS not confirmed; local_path empty,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,"typically 1:50,000; selected 1:10,000",reference characterization,report coverage heterogeneous; GIS not in-hand,program initiated 2012,PUBLIC_IDENTIFIED_GIS_UNCONFIRMED,false,true,false,none for WEAKLY_SUPPORTED,PDFs not scored as unit coupling in this freeze,1,true,NOT_OBTAINED,high,Do not assume weak coupling
E0.5,aquifer boundaries and structural barriers,MATERIAL vs WEAKLY_SUPPORTED,Mapped connectivity/barriers joined to well aquifers,"Faults, clay barriers, compartment boundaries with citation",Not obtained,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,aquifer/structure,reference,none,unknown,ACCESS_REQUIRED,false,true,false,none,proximity is insufficient alone,1,true,NOT_OBTAINED,high,AP_COUPLING_QUALIFICATION_PROTOCOL.md strong evidence
E0.5,transmissivity,strong coupling evidence,"T with method, aquifer, and location for study units",Pumping-test derived T with uncertainty,Not obtained; do not transfer OCWD coefficients,ESTIMATED,INFERRED,UNDOCUMENTED,test/well/aquifer,test snapshot,none,unknown,ACCESS_REQUIRED,false,true,false,none; OCWD transfer forbidden,no AP T from California,1,true,NOT_OBTAINED,high,OCWD_METHOD_TRANSFER_CONTRACT.md
E0.5,storage / specific yield,strong coupling evidence,S or Sy with method and aquifer,Test-derived with uncertainty,Not obtained,ESTIMATED,INFERRED,UNDOCUMENTED,test/well/aquifer,test snapshot,none,unknown,ACCESS_REQUIRED,false,true,false,none,no AP S from synthetic or OCWD,1,true,NOT_OBTAINED,high,
E0.5,pumping tests,strong coupling evidence; radius of influence,Documented pumping tests in or adjacent to candidate units,"Time-drawdown, Q, aquifer, observation wells",Not obtained,OBSERVED,OBSERVED,UNDOCUMENTED,test site,test duration,none,unknown,ACCESS_REQUIRED,false,true,false,none,NOT_DETECTED from heads != weak coupling,1,true,NOT_OBTAINED,high,
E0.5,interference tests,documented neighbor response under controlled withdrawal,At least one interference test linking production and monitoring wells in the unit aquifer,Multiple distances,Not obtained,OBSERVED,OBSERVED,UNDOCUMENTED,well pair,test duration,none,unknown,ACCESS_REQUIRED,false,true,false,none,raw head correlation insufficient,1,true,NOT_OBTAINED,high,
E0.5,documented cross-well effects,strong evidence of MATERIAL coupling or its absence,"Dated neighbour response to a known withdrawal, or documented negligible response from tests",Agency or published hydrogeologic report with well IDs,Not obtained; yearbook PDF not scored as unit coupling,REPORTED_MEASURED,OBSERVED,UNDOCUMENTED,well pair / unit,event,none scored,unknown,ACCESS_REQUIRED,false,true,false,none,COUPLING_STATUS remains UNRESOLVED,1,true,NOT_OBTAINED,high,
E0.5,hydrogeological reports for candidate units,context for TRACK III; not by themselves WEAKLY_SUPPORTED,NAQUIM or CGWB/AP reports covering units that later become eligible,Machine-readable extracts of T/S/tests,Yearbook PDF downloaded (network/cadence); NAQUIM PDFs identified not downloaded,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,district/state/report-dependent,reference,yearbook statewide; NAQUIM not in-hand,yearbook 2024-25,PARTIAL_PUBLIC_PDF,false,true,false,yearbook is not a coupling freeze,do not extract unofficial T/S from prose without citation protocol,2,false,PARTIAL,medium,Conservative: yearbook not used to score WEAKLY_SUPPORTED
E0.6,head-forcing temporal overlap,identification support; unit eligibility overlap rule,Common support of repaired heads and subannual forcing for TRAIN plus analogue window,Multiple monsoon cycles,Heads 1996-2023 quarterly usable; forcing only annual statewide ESTIMATED; no overlap at identification cadence,OBSERVED,MIXED,UNDOCUMENTED,station vs state,quarterly heads vs annual extraction,heads long; forcing mismatch,1996-2023 heads; 2023-24 GWRA,PARTIAL_HEADS_ONLY,false,true,false,none until subannual forcing exists,long heads without forcing are not excitation,1,true,INADEQUATE,high,
E0.6,head cadence versus aquifer-response timescale,scientific-minimum pumping cadence demonstration,Documented comparison of observation interval to hydraulic timescale in the unit aquifer,Test-derived timescale plus telemetry subset,Median head interval 92 days; aquifer timescale not obtained (no T/S/tests),OBSERVED,MIXED,UNDOCUMENTED,station / aquifer,~quarterly vs unknown tau,cadence known; tau unknown,1996-2023,PARTIAL,false,true,false,cannot declare monthly vs quarterly adequacy without tau,do not import V3 k=1 vs k=4,2,true,INADEQUATE,high,Quarterly heads are not automatically inadequate; tau is missing
E0.6,pumping variation / excitation,identify a withdrawal response; analogue design,Documented subannual variation or a dated intervention analogue,Level A analogue with volumes,Not obtained; annual totals do not establish within-year excitation,ESTIMATED,INFERRED,UNKNOWN_NOT_SYNTHETIC,unknown,annual only in-hand,none,n/a,NOT_OBTAINED,false,true,false,none,Level C requires held-out subannual variation that does not yet exist,1,true,NOT_OBTAINED,high,
E0.6,intervention analogue documentation,claim level A/B/C; unit eligibility item 9,Dated event (A/B) or predeclared held-out variation window (C),Level A with volumes and well IDs,Not obtained; Visakhapatnam announcement is not an analogue,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,event/unit,event window,none,n/a,NOT_OBTAINED,false,true,false,Level C only after subannual pumping exists,Level C is not causal identification,2,true,NOT_OBTAINED,medium,ADANI_GOOGLE_VIZAG is not an intervention analogue
E0.6,updated heads after 2023-08-20,recent analogue windows; not a historical-panel blocker,"If analogue is post-2023, heads through that window",Corrected historical plus telemetry,Advertised 2021-2025 resource ends 2023-08-20,OBSERVED,OBSERVED,UNDOCUMENTED,station,quarterly,ends Aug 2023,through 2023-08-20,PUBLIC_DOWNLOADED_STALE,false,false,false,historical 1996-2023 panel remains usable for an analogue inside that window,cannot study post-2023 events without update,3,false,PARTIAL,high,Not fatal for a pre-2023 analogue
PLANNING,canonical data-center candidate parcels,planning integration; AP1; not E0 dynamics classification,Eligible parcel/region geometry with status and primary_eligible,"Capacity, schedule, cooling, water-service agreements",AP Data Center Policy 4.0 PDF; ADANI_GOOGLE_VIZAG city/region reference; primary_eligible=false,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,city/region only for Vizag,policy 2024-29; announcement 2025,no eligible set,policy 4.0,PUBLIC_PDF_PARTIAL,true,false,true,do not treat Vizag as eligible,policy target is not a site list,8,true,PARTIAL,high,Does not block E0 UNRESOLVED vs LOCAL_STUDY; blocks M0S run
PLANNING,site-to-groundwater M_GW and source shares,q_dc interface; AP2/AP7,Documented theta_gw and non-UNRESOLVED M_GW,Legal source shares and entitlements,M_GW.csv empty by design; all Vizag sources UNCERTAIN,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,candidate to node,versioned,none,n/a,ACCESS_REQUIRED,true,false,true,none; APPROXIMATE/UNRESOLVED excluded from primary set,no siting,8,true,NOT_OBTAINED,high,WATER_COUPLING_INTERFACE.md
PLANNING,agriculture exposure baseline,impact after response qualification; AP5,Irrigated area and GW-dependence at assessment unit,Crop-season ET and source split,DES portal identified; GWRA statewide irrigation split; AP5 PARTIAL,REPORTED_MEASURED,INFERRED,UNDOCUMENTED,state/district,annual/seasonal,no node crosswalk,product-dependent,PUBLIC_IDENTIFIED_NOT_BUILT,false,false,true,not required to classify E0 dynamics,no community agricultural impact claim,7,true,PARTIAL,high,NICE TO HAVE for E0 request
PLANNING,municipal exposure baseline,impact; AP6,ULB abstraction and service geometry mapped to units,"Monthly demand, losses, reuse",Census 2011 and CPCB 2020 context; AP6 ACCESS_REQUIRED,REPORTED_MEASURED,INFERRED,UNDOCUMENTED,village/facility snapshot,decennial / 2020 inventory,not planning-ready,2011 / 2020,ACCESS_REQUIRED,false,false,true,not required to classify E0 dynamics,no municipal impact claim,7,true,INADEQUATE,high,
PLANNING,exact historical PSCC / M0 bundle,M0_PSCC_EXACT; not an E0 gate,"Canonical implementation, inputs, and frozen numerical result to claim exact M0",Same plus India candidate bundle,M0_REPRODUCTION_STATUS=PARTIAL; frozen_numerical_result_reproduced=false; code_path=null,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,n/a,n/a,semantics only,narrative baseline commit 975821ae679713cc6b2bcd984f2d16d4328289a8,NOT_RECOVERED,false,false,false,future paper-faithful reconstruction must not be labeled historical exact M0,M0_PSCC_EXACT=NOT_RECOVERED; does not block E0,9,true,INADEQUATE,high,Do not block E0 on PSCC recovery
